[HIGHEST OVERHEAD] SALARY EXPENSE: 26.09%
[CASH DEFICIT] DAY: 1, AMOUNT: USD12600
[CASH DEFICIT] DAY: 62, AMOUNT: USD35202
[CASH DEFICIT] DAY: 63, AMOUNT: USD17189
[CASH DEFICIT] DAY: 64, AMOUNT: USD32631
[CASH DEFICIT] DAY: 65, AMOUNT: USD24693
[CASH DEFICIT] DAY: 67, AMOUNT: USD72762
[CASH DEFICIT] DAY: 70, AMOUNT: USD23694
[CASH DEFICIT] DAY: 71, AMOUNT: USD6465
[CASH DEFICIT] DAY: 74, AMOUNT: USD171090
[CASH DEFICIT] DAY: 77, AMOUNT: USD153871
[CASH DEFICIT] DAY: 80, AMOUNT: USD78638
[CASH DEFICIT] DAY: 82, AMOUNT: USD296589
[CASH DEFICIT] DAY: 83, AMOUNT: USD183980
[PROFIT DEFICIT] DAY: 2, AMOUNT: USD12600
[PROFIT DEFICIT] DAY: 3, AMOUNT: USD143960
[PROFIT DEFICIT] DAY: 4, AMOUNT: USD28070
[PROFIT DEFICIT] DAY: 5, AMOUNT: USD30070
[PROFIT DEFICIT] DAY: 6, AMOUNT: USD28070
[PROFIT DEFICIT] DAY: 7, AMOUNT: USD23946
[PROFIT DEFICIT] DAY: 8, AMOUNT: USD8168
[PROFIT DEFICIT] DAY: 9, AMOUNT: USD21880
[PROFIT DEFICIT] DAY: 10, AMOUNT: USD22698
[PROFIT DEFICIT] DAY: 12, AMOUNT: USD16163
[PROFIT DEFICIT] DAY: 14, AMOUNT: USD124704
[PROFIT DEFICIT] DAY: 15, AMOUNT: USD8974
[PROFIT DEFICIT] DAY: 17, AMOUNT: USD40887
[PROFIT DEFICIT] DAY: 18, AMOUNT: USD41924
[PROFIT DEFICIT] DAY: 19, AMOUNT: USD45463
[PROFIT DEFICIT] DAY: 20, AMOUNT: USD152869
[PROFIT DEFICIT] DAY: 21, AMOUNT: USD28494
[PROFIT DEFICIT] DAY: 22, AMOUNT: USD2000
[PROFIT DEFICIT] DAY: 24, AMOUNT: USD58392
[PROFIT DEFICIT] DAY: 25, AMOUNT: USD50011
[PROFIT DEFICIT] DAY: 26, AMOUNT: USD54314
[PROFIT DEFICIT] DAY: 27, AMOUNT: USD74150
[PROFIT DEFICIT] DAY: 28, AMOUNT: USD45822
[PROFIT DEFICIT] DAY: 29, AMOUNT: USD52397
[PROFIT DEFICIT] DAY: 30, AMOUNT: USD44858
[PROFIT DEFICIT] DAY: 31, AMOUNT: USD11436
[PROFIT DEFICIT] DAY: 32, AMOUNT: USD465447
[PROFIT DEFICIT] DAY: 33, AMOUNT: USD50302
[PROFIT DEFICIT] DAY: 34, AMOUNT: USD46324
[PROFIT DEFICIT] DAY: 35, AMOUNT: USD118792
[PROFIT DEFICIT] DAY: 36, AMOUNT: USD37913
[PROFIT DEFICIT] DAY: 39, AMOUNT: USD3280
[PROFIT DEFICIT] DAY: 41, AMOUNT: USD32585
[PROFIT DEFICIT] DAY: 42, AMOUNT: USD11419
[PROFIT DEFICIT] DAY: 43, AMOUNT: USD29747
[PROFIT DEFICIT] DAY: 44, AMOUNT: USD46848
[PROFIT DEFICIT] DAY: 45, AMOUNT: USD33439
[PROFIT DEFICIT] DAY: 46, AMOUNT: USD38250
[PROFIT DEFICIT] DAY: 47, AMOUNT: USD78433
[PROFIT DEFICIT] DAY: 49, AMOUNT: USD30898
[PROFIT DEFICIT] DAY: 50, AMOUNT: USD71223
[PROFIT DEFICIT] DAY: 51, AMOUNT: USD24790
[PROFIT DEFICIT] DAY: 52, AMOUNT: USD26381
[PROFIT DEFICIT] DAY: 54, AMOUNT: USD7574
[PROFIT DEFICIT] DAY: 55, AMOUNT: USD62214
[PROFIT DEFICIT] DAY: 56, AMOUNT: USD49685
[PROFIT DEFICIT] DAY: 58, AMOUNT: USD55553
[PROFIT DEFICIT] DAY: 59, AMOUNT: USD39542
[PROFIT DEFICIT] DAY: 60, AMOUNT: USD31479
[PROFIT DEFICIT] DAY: 61, AMOUNT: USD49164
[PROFIT DEFICIT] DAY: 62, AMOUNT: USD92428
[PROFIT DEFICIT] DAY: 63, AMOUNT: USD51060
[PROFIT DEFICIT] DAY: 64, AMOUNT: USD34561
[PROFIT DEFICIT] DAY: 65, AMOUNT: USD53145
[PROFIT DEFICIT] DAY: 66, AMOUNT: USD58460
[PROFIT DEFICIT] DAY: 68, AMOUNT: USD106675
[PROFIT DEFICIT] DAY: 69, AMOUNT: USD23382
[PROFIT DEFICIT] DAY: 70, AMOUNT: USD22180
[PROFIT DEFICIT] DAY: 71, AMOUNT: USD55658
[PROFIT DEFICIT] DAY: 72, AMOUNT: USD37986
[PROFIT DEFICIT] DAY: 73, AMOUNT: USD27297
[PROFIT DEFICIT] DAY: 74, AMOUNT: USD13357
[PROFIT DEFICIT] DAY: 75, AMOUNT: USD23997
[PROFIT DEFICIT] DAY: 76, AMOUNT: USD22603
[PROFIT DEFICIT] DAY: 77, AMOUNT: USD12307
[PROFIT DEFICIT] DAY: 78, AMOUNT: USD8581
[PROFIT DEFICIT] DAY: 84, AMOUNT: USD18123
[PROFIT DEFICIT] DAY: 88, AMOUNT: USD15158
[PROFIT DEFICIT] DAY: 89, AMOUNT: USD8123
[PROFIT DEFICIT] DAY: 91, AMOUNT: USD28127
